case,resolution,time,z_cm,min_gap,max_penetration,active_contact_count,normal_force,contact_energy,sdf_replay_min_gap,sdf_replay_normal_force,newton_iterations,newton_residual_norm,linearity,element_type,wall_time_seconds
block_block_c3d8,4,0.58,0.3766210268995075,0.006621026898939647,0.0,0,0.0,0.0,0.006621026898939647,0.0,2,8.085690178209269e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.6,0.37634060245909384,0.006340602458462068,0.0,0,0.0,0.0,0.006340602458462068,0.0,2,7.755631104803931e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.62,0.376060584652385,0.0060605846516870645,0.0,0,0.0,0.0,0.0060605846516870645,0.0,2,7.290700308669587e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.64,0.3757809614606489,0.005780961459880931,0.0,0,0.0,0.0,0.005780961459880931,0.0,2,7.474863986389902e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.66,0.37550172122038983,0.005501721219548335,0.0,0,0.0,0.0,0.005501721219548335,0.0,2,8.707170592524264e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.68,0.37522285261284805,0.005222852611934446,0.0,0,0.0,0.0,0.005222852611934446,0.0,2,7.26706915309746e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.7000000000000001,0.3749443446538075,0.004944344652826505,0.0,0,0.0,0.0,0.004944344652826505,0.0,2,8.6850550062769e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.72,0.3746661866837041,0.004666186682658382,0.0,0,0.0,0.0,0.004666186682658382,0.0,2,9.072103933555677e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.74,0.3743883683580348,0.004388368356922854,0.0,0,0.0,0.0,0.004388368356922854,0.0,2,8.965296747231899e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.76,0.37411087963804734,0.00411087963686317,0.0,0,0.0,0.0,0.00411087963686317,0.0,2,8.391051779131203e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.78,0.37383371078169864,0.00383371078043446,0.0,0,0.0,0.0,0.00383371078043446,0.0,2,9.724044212780868e-13,linear_damped,C3D8,35.59371939999983
block_block_c3d8,4,0.8,0.3735568523348899,0.003556852333538359,0.0,0,0.0,0.0,0.003556852333538359,0.0,2,8.643419598441565e-13,linear_damped,C3D8,35.59371939999983
