time,sfc_z_cm,abaqus_z_cm,z_cm_abs_error,sfc_min_gap,abaqus_min_gap,min_gap_abs_error,sfc_max_von_mises,abaqus_max_von_mises,von_mises_abs_error,sfc_max_strain_norm,abaqus_max_strain_norm,strain_norm_abs_error,sfc_p95_von_mises,abaqus_p95_von_mises,p95_von_mises_abs_error,sfc_volume_mean_von_mises,abaqus_volume_mean_von_mises,volume_mean_von_mises_abs_error,sfc_p95_strain_norm,abaqus_p95_strain_norm,p95_strain_norm_abs_error,sfc_volume_mean_strain_norm,abaqus_volume_mean_strain_norm,volume_mean_strain_norm_abs_error,sfc_normal_force_z,abaqus_normal_force_z,normal_force_z_abs_error,sfc_contact_energy,abaqus_contact_energy,contact_energy_abs_error,sfc_active_contact_area,abaqus_active_contact_area,active_contact_area_abs_error
0.761,0.06674721857585608,0.06667467611039468,7.254246546140042e-05,0.016737564414655112,0.01717897166168983,0.0004414072470347169,19958.520268569246,41457.979566778085,21499.45929820884,0.0005697454714779959,0.0014737677151767281,0.0009040222436987322,19403.893387974163,37224.6869647744,17820.79357680024,11782.512847364149,12829.980759113272,1047.4679117491232,0.0005276128771644779,0.0010734946133036942,0.0005458817361392163,0.0002898629143952485,0.0003863877911519087,9.652487675666023e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.762,0.06698549249709161,0.06691467436646883,7.081813062277675e-05,0.016979531462877253,0.017442641485787756,0.00046311002291050257,25724.622505320556,21564.565170841448,4160.057334479108,0.0007607339434756595,0.0008010171804947051,4.0283237019045673e-05,13337.692378686806,18067.423091917874,4729.730713231067,6216.204908832622,10204.835034577736,3988.630125745114,0.00038052137225418254,0.000573451536578875,0.00019293016432469243,0.00017800632602883585,0.00033705078460824673,0.00015904445857941089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.763,0.06721395641832718,0.06714486253581166,6.909388251552517e-05,0.01723195107827928,0.017668460242052184,0.0004365091637729031,26269.76479581982,16095.21256817572,10174.5522276441,0.0006319274627863178,0.00050351413696749,0.00012841332581882783,25590.37033548999,15222.707884274403,10367.662451215589,12758.566278013363,8872.091525082891,3886.4747529304714,0.0005984739045211578,0.0004260449015065603,0.0001724290030145975,0.000309519845342327,0.00030105235749006,8.467487852267005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.764,0.06743261033956277,0.06736522744704795,6.738289251481677e-05,0.01741922891210854,0.01787372660759154,0.0004544976954829992,22240.549662171772,31398.19007488253,9157.640412710756,0.0005891136404220851,0.0011518368667282307,0.0005627232263061456,22226.88538744657,27110.47359196473,4883.588204518157,13988.541422275479,12825.148831067687,1163.392591207792,0.0005723586360061199,0.0011420001770238513,0.0005696415410177314,0.00037388645446740753,0.0004377449570131337,6.38585025457262e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.765,0.06764145426079841,0.06757579552643088,6.565873436753522e-05,0.017648476663472388,0.018108004625990097,0.00045952796251770914,31601.620298914684,28111.134144945987,3490.486153968697,0.0009396853619181664,0.0009002975564220627,3.938780549610373e-05,14794.90439787595,27274.970412809686,12480.066014933736,7551.199052640462,12265.557922658418,4714.358870017956,0.0003581991845776574,0.0007549217614372995,0.0003967225768596421,0.0002053193822108599,0.00040363907648169377,0.00019831969427083388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.766,0.06784048818203411,0.06777655351058996,6.393467144415188e-05,0.017837472875523775,0.01828782369376183,0.00045035081823805584,17978.181488536673,35088.32903183129,17110.147543294614,0.000504549203620856,0.0011604874582094974,0.0006559382545886414,17963.91257442105,34570.77350672593,16606.860932304877,8199.584551122456,7152.815736780708,1046.768814341748,0.0004835000549903067,0.0010843968043028542,0.0006008967493125475,0.00023169138522423943,0.0002300116987128048,1.6796865114346228e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.767,0.06802971210326982,0.06796750116664156,6.221093662825417e-05,0.018020455815758875,0.01848143468738082,0.00046097887162194554,25774.086415769278,24593.1795527169,1180.9068630523761,0.0005677426726731346,0.0008130075775175695,0.00024526490484443487,25172.290028847197,17871.531198323573,7300.758830523624,13545.856264163016,11318.024018984626,2227.8322451783897,0.000562746799901664,0.0006985791761932114,0.0001358323762915474,0.0003244296038254282,0.0003636388596036814,3.920925577825324e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.768,0.06820912602450552,0.06814865344528348,6.0472579222037304e-05,0.018220721586113316,0.018658805073135117,0.0004380834870218002,23950.268243885956,29093.10064719713,5142.832403311175,0.0006331242790332709,0.0012332504348924126,0.0006001261558591418,23368.133311699796,28425.559421118567,5057.426109418771,12736.8336843923,14527.707209609378,1790.8735252170773,0.0006111731702773614,0.0011768037897947495,0.000565630619517388,0.00033112597477044815,0.0004458727931205465,0.00011474681835009834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.769,0.06837872994574125,0.06831995543602433,5.8774509716919e-05,0.018376571246024487,0.018824483692661154,0.00044791244663666685,22020.604787467866,21377.03004566781,643.5747418000574,0.0006401414417469344,0.0009075579011732706,0.0002674164594263362,20179.770212067815,21204.546327038424,1024.7761149706093,8913.451987031653,12282.11039069908,3368.6584036674267,0.0005825962106526909,0.0008917825192832198,0.0003091863086305288,0.00024496090184968864,0.0004278743768164584,0.0001829134749667698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.77,0.06853852386697702,0.06848147311155262,5.705075542440652e-05,0.018534651997272014,0.01899836681956512,0.0004637148222931056,21359.7093784927,24167.776611617763,2808.0672331250644,0.0005310926629421292,0.0010120236237220947,0.00048093096077996553,20753.637780899455,18301.73481951403,2451.9029613854254,12321.828505773981,8617.364656949718,3704.4638488242636,0.0005088486076936085,0.000729388754058076,0.0002205401463644675,0.0003314684515663641,0.0002855491763000985,4.5919275266265624e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.771,0.06868850778821284,0.06863318044745126,5.5327340761579524e-05,0.01870737425936021,0.019164448594970747,0.00045707433561053765,27580.7013381127,31337.164173658148,3756.462835545448,0.0006529688180691898,0.0008073003627986254,0.00015433154472943556,23938.960888275655,28160.632902819834,4221.67201454418,14672.516515996855,10896.523128259443,3775.9933877374115,0.0005720045883651366,0.0007778330376189888,0.00020582844925385213,0.0003672216606444482,0.0003252254471729856,4.19962134714626e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.772,0.0688286817094486,0.06877507750410347,5.360420534512855e-05,0.01883171420712005,0.019281232261943344,0.00044951805482329465,21708.187767484524,31121.73043890106,9413.542671416537,0.0005330325182404054,0.0011302480058993994,0.000597215487658994,18002.48688707011,27862.015263769263,9859.528376699152,10758.322798648293,13548.681140404875,2790.3583417565824,0.0004263574518553011,0.0008583833579982743,0.00043202590614297315,0.0002732652402895545,0.0003972896300300675,0.000124024389740513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.773,0.06895904563068443,0.06890715652948876,5.1889101195676246e-05,0.018957104525853863,0.019424638374396765,0.00046753384854290175,25503.572233679417,21627.332084526763,3876.2401491526543,0.0007792311771034053,0.0008996453857439645,0.00012041420864055915,15493.129755169593,20623.54754346615,5130.417788296556,7384.145651947184,10407.893292199671,3023.747640252487,0.0003557293421627416,0.0008020896492948979,0.00044636030713215627,0.0001953616631897585,0.00039008495202478264,0.00019472328883502415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
