case,body,indentation,element_id,centroid_x,centroid_y,centroid_z,von_mises,status,details
deformable_deformable_block_contact_stress_cloud,lower,0.07,75,0.05,0.65,0.03125,72387.85065314392,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,76,0.15000000000000002,0.75,0.03125,38045.132895061164,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,77,0.1,0.7,0.0625,59703.36525761257,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,78,0.05,0.75,0.09375,87953.3870115326,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,79,0.15000000000000002,0.6499999999999999,0.09375,43156.54601929388,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,80,0.25,0.65,0.03125,32323.893635668668,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,81,0.35,0.75,0.03125,32323.893635668683,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,82,0.30000000000000004,0.7,0.0625,34452.52204088717,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,83,0.25,0.75,0.09375,42468.23660591814,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,84,0.35,0.6499999999999999,0.09375,31642.791689429025,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,85,0.44999999999999996,0.65,0.03125,27371.010641376168,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,86,0.55,0.75,0.03125,32961.4201542044,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,87,0.5,0.7,0.0625,32158.71030019911,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,88,0.45000000000000007,0.75,0.09375,36431.67175667777,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,89,0.55,0.6499999999999999,0.09375,31661.642797831646,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,90,0.65,0.65,0.03125,27406.432146013187,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,91,0.75,0.75,0.03125,41359.91988077115,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,92,0.7,0.7,0.0625,36274.597474910166,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,93,0.6499999999999999,0.75,0.09375,36895.566785702045,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,94,0.75,0.6499999999999999,0.09375,36895.566785702074,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,95,0.8500000000000001,0.65,0.03125,32961.42015420444,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,96,0.95,0.75,0.03125,83509.12262677956,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,97,0.9,0.7,0.0625,61325.832382618304,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,98,0.8500000000000001,0.75,0.09375,51205.6868757546,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,99,0.95,0.6499999999999999,0.09375,77953.18316409392,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,100,0.05,0.8500000000000001,0.03125,83471.35761356865,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,101,0.15000000000000002,0.95,0.03125,83471.3576135688,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,102,0.1,0.9,0.0625,93330.86500497143,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,103,0.05,0.95,0.09375,236626.99333837864,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,104,0.15000000000000002,0.8500000000000001,0.09375,54876.24144373091,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,105,0.25,0.8500000000000001,0.03125,38045.132895061164,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,106,0.35,0.95,0.03125,72387.85065314405,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,107,0.30000000000000004,0.9,0.0625,59703.36525761263,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,108,0.25,0.95,0.09375,87953.38701153274,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,109,0.35,0.8500000000000001,0.09375,43156.5460192939,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,110,0.44999999999999996,0.8500000000000001,0.03125,32323.893635668683,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,111,0.55,0.95,0.03125,73608.54981485025,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,112,0.5,0.9,0.0625,56756.05893709496,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,113,0.45000000000000007,0.95,0.09375,76732.46833090835,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,114,0.55,0.8500000000000001,0.09375,43966.83951103036,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,115,0.65,0.8500000000000001,0.03125,32961.4201542044,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,116,0.75,0.95,0.03125,83509.12262677954,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,117,0.7,0.9,0.0625,61325.8323826183,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,118,0.6499999999999999,0.95,0.09375,77953.18316409389,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,119,0.75,0.8500000000000001,0.09375,51205.6868757546,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,120,0.8500000000000001,0.8500000000000001,0.03125,41359.91988077115,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,121,0.95,0.95,0.03125,102588.22754004748,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,122,0.9,0.9,0.0625,78202.7206423961,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,123,0.8500000000000001,0.95,0.09375,96813.37813334864,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,124,0.95,0.8500000000000001,0.09375,96813.37813334867,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,125,0.05,0.05,0.15625,158640.5172987866,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,126,0.15000000000000002,0.15000000000000002,0.15625,57948.52007171197,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,127,0.1,0.1,0.1875,93981.05133226559,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,128,0.05,0.15000000000000002,0.21875,99277.9818085068,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,129,0.15000000000000002,0.05,0.21875,99277.98180850681,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,130,0.25,0.05,0.15625,89364.67388964823,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,131,0.35,0.15000000000000002,0.15625,49771.65623572499,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,132,0.30000000000000004,0.1,0.1875,75244.21621371535,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,133,0.25,0.15000000000000002,0.21875,65341.18425931515,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,134,0.35,0.05,0.21875,92795.66684839135,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,135,0.44999999999999996,0.05,0.15625,84777.75629293248,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,136,0.55,0.15000000000000002,0.15625,50223.5455673534,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,137,0.5,0.1,0.1875,72184.56486155695,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,138,0.45000000000000007,0.15000000000000002,0.21875,59869.864669839975,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,139,0.55,0.05,0.21875,90794.04946301701,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,140,0.65,0.05,0.15625,83035.31512623077,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,141,0.75,0.15000000000000002,0.15625,62357.497635429645,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,142,0.7,0.1,0.1875,74005.39688293234,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,143,0.6499999999999999,0.15000000000000002,0.21875,62318.21715905879,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,144,0.75,0.05,0.21875,133034.66449300168,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,145,0.8500000000000001,0.05,0.15625,127939.48557040081,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,146,0.95,0.15000000000000002,0.15625,127939.48557040075,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,147,0.9,0.1,0.1875,82634.48447229336,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,148,0.8500000000000001,0.15000000000000002,0.21875,85499.91559957986,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,149,0.95,0.05,0.21875,297083.845592038,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,150,0.05,0.25,0.15625,89364.67388964818,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,151,0.15000000000000002,0.35,0.15625,49771.656235725015,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,152,0.1,0.30000000000000004,0.1875,75244.21621371536,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,153,0.05,0.35,0.21875,92795.66684839138,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,154,0.15000000000000002,0.25,0.21875,65341.18425931515,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,155,0.25,0.25,0.15625,51441.251661278046,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,156,0.35,0.35,0.15625,39565.55776257649,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,157,0.30000000000000004,0.30000000000000004,0.1875,51522.960005579196,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,158,0.25,0.35,0.21875,54404.961372813406,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,159,0.35,0.25,0.21875,54404.96137281337,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,160,0.44999999999999996,0.25,0.15625,45982.20263263096,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,161,0.55,0.35,0.15625,39996.53400238197,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,162,0.5,0.30000000000000004,0.1875,47054.77724913137,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,163,0.45000000000000007,0.35,0.21875,47549.53011666471,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,164,0.55,0.25,0.21875,54243.293935925605,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,165,0.65,0.25,0.15625,46959.24284471074,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,166,0.75,0.35,0.15625,46959.24284471083,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,167,0.7,0.30000000000000004,0.1875,50687.77063396193,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,168,0.6499999999999999,0.35,0.21875,49765.81787606999,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,169,0.75,0.25,0.21875,69961.42913982407,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,170,0.8500000000000001,0.25,0.15625,62357.49763542966,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,171,0.95,0.35,0.15625,83035.31512623097,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,172,0.9,0.30000000000000004,0.1875,74005.39688293249,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,173,0.8500000000000001,0.35,0.21875,62318.21715905891,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,174,0.95,0.25,0.21875,133034.66449300162,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,175,0.05,0.44999999999999996,0.15625,84777.75629293252,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,176,0.15000000000000002,0.55,0.15625,50223.5455673534,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,177,0.1,0.5,0.1875,72184.56486155701,ok,element von Mises stress for two-block normal contact validation
deformable_deformable_block_contact_stress_cloud,lower,0.07,178,0.05,0.55,0.21875,90794.049463017,ok,element von Mises stress for two-block normal contact validation
