time,sfc_z_cm,abaqus_z_cm,z_cm_abs_error,sfc_min_gap,abaqus_min_gap,min_gap_abs_error,sfc_max_von_mises,abaqus_max_von_mises,von_mises_abs_error,sfc_max_strain_norm,abaqus_max_strain_norm,strain_norm_abs_error,sfc_p95_von_mises,abaqus_p95_von_mises,p95_von_mises_abs_error,sfc_volume_mean_von_mises,abaqus_volume_mean_von_mises,volume_mean_von_mises_abs_error,sfc_p95_strain_norm,abaqus_p95_strain_norm,p95_strain_norm_abs_error,sfc_volume_mean_strain_norm,abaqus_volume_mean_strain_norm,volume_mean_strain_norm_abs_error,sfc_normal_force_z,abaqus_normal_force_z,normal_force_z_abs_error,sfc_contact_energy,abaqus_contact_energy,contact_energy_abs_error,sfc_active_contact_area,abaqus_active_contact_area,active_contact_area_abs_error
0.8800000000000001,0.049825563561766255,0.05013737661796754,0.00031181305620128774,-1.2938049708199895e-05,0.0006144581509175347,0.0006273962006257346,29135.76826066596,26938.8445476727,2196.923712993259,0.008549955973543471,0.010461053616478855,0.0019110976429353842,13968.96191479632,15825.005964603994,1856.0440498076732,5979.65104136987,5565.149656027414,414.50138534245616,0.004122600998186156,0.005174210212892863,0.0010516092147067075,0.0017926640807217203,0.001969402440574471,0.00017673835985275053,11.314179326222071,0.0,11.314179326222071,7.319170726507437e-05,0.0,7.319170726507437e-05,0.0001748977563295549,0.0,0.0001748977563295549
0.8810000000000001,0.05043208189373027,0.05074032205887169,0.00030824016514142266,0.0004245620444960664,0.0011049126927337978,0.0006803506482377314,10679.950408078708,15263.880160239381,4583.929752160673,0.003139499494765724,0.006021970205694542,0.002882470710928818,10647.345664234539,13345.557642818309,2698.2119785837695,6407.067293722092,7221.04705176433,813.9797580422382,0.0031270571710239814,0.004308961264009763,0.0011819040929857815,0.0018225054490499455,0.002327760005596284,0.0005052545565463386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8820000000000001,0.05102932827554872,0.051333457864041566,0.00030412958849284494,0.0010892961889551432,0.0017124260126814652,0.000623129823726322,16842.124085766332,22624.546778833297,5782.422693066965,0.004884568000457352,0.007883254851948305,0.002998686851490953,10940.13080544121,16183.801874919978,5243.671069478769,7889.638199714779,7414.820381531874,474.8178181829053,0.002979728887650793,0.005378710941278963,0.0023989820536281696,0.0019311569895609302,0.0024452339183098836,0.0005140769287489534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8830000000000001,0.051616764657367205,0.051916783678021605,0.0003000190206544004,0.0016273703409536953,0.0022845302240379972,0.0006571598830843019,10822.39939338908,21656.78408309298,10834.384689703902,0.0032893124254980886,0.008604368012351852,0.005315055586853763,8979.993201784087,12772.385312572645,3792.392110788558,6105.071097326153,6154.559282197517,49.488184871363956,0.0023837823351664385,0.005279631116277034,0.0028958487811105954,0.0016190549875874408,0.002111195309499168,0.0004921403219117269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8840000000000001,0.052194391039185696,0.052490300533269536,0.00029590949408384026,0.0021998210079535,0.00293059197444994,0.0007307709664964401,9824.456735308311,22533.05399846223,12708.597263153919,0.00302094947032132,0.009213190895276346,0.006192241424955025,9764.668738017926,13173.67583285278,3409.007094834853,4903.6923026697095,7231.607781586335,2327.915478916625,0.0029162743445178894,0.004895245953465522,0.0019789716089476327,0.0015808513948463326,0.002460705534186207,0.0008798541393398745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8850000000000001,0.05276220742100424,0.053053971648038586,0.00029176422703434957,0.002671357748861236,0.003437878628800652,0.0007665208799394157,19084.077305938266,28654.8799029506,9570.802597012334,0.005388859299867083,0.011821331838313019,0.006432472538445936,12251.729852610546,15102.014392649377,2850.2845400388305,7754.912455595256,7999.360678745372,244.44822315011606,0.003429590774610797,0.005421205116600959,0.001991614341990162,0.002040172460873388,0.0026074733508546152,0.0005673008899812274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8860000000000001,0.05332021380282278,0.053607867450445705,0.00028765364762292633,0.0033203985263308283,0.004033593192145328,0.0007131946658144993,13864.335794875795,22751.986497396545,8887.65070252075,0.004191243694258647,0.008609376354169213,0.004418132659910566,11698.746921177732,18765.09985428358,7066.352933105849,7608.836285885697,7688.767881840785,79.93159595508769,0.0033501593208173585,0.007180109703149004,0.0038299503823316454,0.001930383984093921,0.002466166987619824,0.0005357830035259031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8870000000000001,0.05386841018464135,0.05415195376476972,0.0002835435801283731,0.0038679773412869482,0.00451824304946132,0.0006502657081743721,19731.976972117543,26491.304816404507,6759.327844286963,0.005306981117785811,0.010929341626769083,0.005622360508983272,10726.846116567478,15142.909246847998,4416.0631302805195,4626.688675131048,6379.261414133689,1752.5727390026414,0.002686490774077137,0.005607907465993305,0.002921416691916168,0.0014676477546418669,0.0021282925124383534,0.0006606447577964865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8880000000000001,0.05440679656645992,0.05468622920646889,0.0002794326400089725,0.004490965775851095,0.005166381066377861,0.0006754152905267662,13980.206152191971,22101.046589005153,8120.840436813181,0.004553398848675912,0.008337466814289624,0.0037840679656137117,12779.416736762392,14539.496223688375,1760.0794869259826,6823.105781979488,7836.1003008560765,1012.9945188765887,0.003089660118152596,0.0051815668896345824,0.0020919067714819865,0.0018770199926530717,0.0026612739182365476,0.0007842539255834759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8890000000000001,0.05493537294827853,0.05521066324386816,0.0002752902955896336,0.004967079213579962,0.0056016276033965424,0.0006345483898165805,17129.123115693863,26391.581153631567,9262.458037937704,0.005056972585017904,0.011040165013172658,0.005983192428154755,16776.72078978739,15963.906291769968,812.8144980174202,7315.917686293856,8088.786673656943,772.8689873630874,0.004990244520217423,0.0057383438203518645,0.0007480993001344411,0.0018382432105824077,0.0026972149175489954,0.0008589717069665877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8900000000000001,0.05545413933009714,0.05572531877864317,0.00027117944854603004,0.005503595251745524,0.006164924600610718,0.0006613293488651941,10184.997621280194,19715.479156849804,9530.48153556961,0.0028312992557574797,0.008280779757997611,0.005449480502240131,10041.819709457468,15257.178858813342,5215.359149355874,5482.319457504551,7354.957577634635,1872.6381201300837,0.0028037413761627995,0.005205473626809115,0.002401732250646316,0.001566206611470832,0.00239998038435502,0.000833773772884188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8910000000000001,0.05596309571191579,0.05623016454253622,0.0002670688306204358,0.005903112620991191,0.006543523174905969,0.0006404105539147779,13678.26360287072,27479.9540328125,13801.69042994178,0.003208060637075541,0.011510056033352863,0.008301995396277323,13276.155154399277,20811.67981729206,7535.524662892783,6173.207115532679,7588.019515565359,1414.8124000326798,0.003151099583194685,0.008310871534057882,0.005159771950863198,0.0018068704850315643,0.0025076974587634995,0.0007008269737319352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8920000000000001,0.05646224209373444,0.05672519968912507,0.0002629575953906338,0.00646124179077881,0.0071389140941696206,0.0006776723033908106,12810.46436275922,24775.6512493074,11965.186886548181,0.0035531665843464367,0.009688556823740061,0.006135390239393625,12792.164347202293,18287.295675168145,5495.131327965852,6916.956014327831,8518.969510160972,1602.013495833141,0.0033872131417118584,0.00748979871193043,0.004102585570218572,0.0017803540733599603,0.0028756546782211824,0.001095300604861222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8930000000000001,0.05695157847555311,0.057210424850647826,0.00025884637509471925,0.006924060525493181,0.007608145436243139,0.0006840849107499578,15743.809344900592,17889.924814233407,2146.1154693328153,0.004730520638693107,0.007133818023808139,0.0024032973851150314,14479.958276772346,12111.997717894392,2367.960558877954,6249.235006206417,7094.303317024679,845.068310818262,0.004256540418357529,0.004900413099962646,0.0006438726816051172,0.0016594156592325544,0.0023087423490991948,0.0006493266898666404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8940000000000001,0.0574311048573718,0.057685811140378934,0.000254706283007132,0.007405825392474898,0.008157713045178544,0.000751887652703646,14365.153796222232,24033.9219760006,9668.76817977837,0.003815788493768089,0.009307967306763025,0.005492178812994936,13963.972429451356,15475.39267124383,1511.4202417924735,4754.900236688873,7292.535494548641,2537.635257859768,0.0036613012439541733,0.004685038924877161,0.0010237376809229875,0.0015548094376855283,0.0023706560327071027,0.0008158465950215744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
