case,external_solver,resolution,element_id,centroid_x,centroid_y,centroid_z,von_mises_sfc,von_mises_external,von_mises_abs_error,status,details
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,35,0.625,0.125,0.125,92.16187493479065,92.1618749347864,4.249045559845399e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,36,0.875,0.175,0.125,12.614430240215746,12.614430240215501,2.4513724383723456e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,37,0.75,0.15000000000000002,0.15000000000000002,48.11133248727209,48.111332487268434,3.652189661806915e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,38,0.625,0.175,0.175,103.51365320606361,103.51365320605909,4.519051799434237e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,2,39,0.875,0.125,0.175,24.180789435515596,24.180789435514175,1.4210854715202004e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,0,0.08333333333333333,0.016666666666666666,0.016666666666666666,255.74851214661706,255.74851214665688,3.9818814911996014e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,1,0.25,0.05,0.016666666666666666,194.55948678237604,194.55948678239443,1.8388846001471393e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,2,0.16666666666666666,0.03333333333333333,0.03333333333333333,148.4456067146184,148.44560671463725,1.8843593352357857e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,3,0.08333333333333333,0.05,0.05,225.97034743979114,225.97034743982758,3.643663148977794e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,4,0.25,0.016666666666666666,0.05,139.2487913424602,139.2487913424698,9.57811607804615e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,5,0.41666666666666663,0.016666666666666666,0.016666666666666666,197.19755146946267,197.19755146947847,1.5802470443304628e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,6,0.5833333333333333,0.05,0.016666666666666666,112.61609454682741,112.61609454682788,4.689582056016661e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,7,0.5,0.03333333333333333,0.03333333333333333,103.49842818912079,103.49842818912825,7.460698725481052e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,8,0.41666666666666663,0.05,0.05,161.5224723109724,161.52247231098536,1.2960299500264227e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,9,0.5833333333333333,0.016666666666666666,0.05,71.07617636918636,71.07617636918317,3.183231456205249e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,10,0.7499999999999999,0.016666666666666666,0.016666666666666666,101.83228862004266,101.83228862003864,4.021671884402167e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,11,0.9166666666666666,0.05,0.016666666666666666,35.54750168481558,35.54750168481358,1.9966250874858815e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,12,0.8333333333333333,0.03333333333333333,0.03333333333333333,51.99736363149954,51.99736363150035,8.100187187665142e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,13,0.75,0.05,0.05,86.03548953631682,86.0354895363125,4.320099833421409e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,14,0.9166666666666666,0.016666666666666666,0.05,24.47233184264429,24.472331842643342,9.485745522397337e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,15,0.08333333333333333,0.08333333333333333,0.016666666666666666,255.38609376088866,255.3860937609272,3.8539837987627834e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,16,0.25,0.11666666666666667,0.016666666666666666,187.71224507480198,187.71224507481907,1.708144736767281e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,17,0.16666666666666666,0.1,0.03333333333333333,148.6217364874191,148.62173648743797,1.887201506178826e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,18,0.08333333333333333,0.11666666666666667,0.05,224.65096160848424,224.65096160851925,3.501554601825774e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,19,0.25,0.08333333333333334,0.05,142.77318230854675,142.77318230855695,1.0203393685515039e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,20,0.41666666666666663,0.08333333333333333,0.016666666666666666,184.22231768717674,184.22231768718967,1.2931877790833823e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,21,0.5833333333333333,0.11666666666666667,0.016666666666666666,106.80195778938813,106.8019577893871,1.0231815394945443e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,22,0.5,0.1,0.03333333333333333,98.041836627359,98.04183662736486,5.8548721426632255e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,23,0.41666666666666663,0.11666666666666667,0.05,159.33820224919322,159.33820224920626,1.304556462855544e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,24,0.5833333333333333,0.08333333333333334,0.05,72.69474795441019,72.6947479544071,3.083755473198835e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,25,0.7499999999999999,0.08333333333333333,0.016666666666666666,93.1439503352699,93.1439503352647,5.201172825763933e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,26,0.9166666666666666,0.11666666666666667,0.016666666666666666,29.743076000209825,29.74307600020728,2.5437429940211587e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,27,0.8333333333333333,0.1,0.03333333333333333,46.30390306184069,46.303903061842206,1.5134560271690134e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,28,0.75,0.11666666666666667,0.05,84.09612640226045,84.09612640225303,7.418066161335446e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,29,0.9166666666666666,0.08333333333333334,0.05,17.591633052486095,17.591633052485122,9.734435479913373e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,30,0.08333333333333333,0.15,0.016666666666666666,251.9238711242536,251.92387112429037,3.6777692002942786e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,31,0.25,0.18333333333333338,0.016666666666666666,194.33394148632289,194.3339414863403,1.7422507880837657e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,32,0.16666666666666666,0.16666666666666669,0.03333333333333333,148.2814396451369,148.28143964515533,1.8417267710901797e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,33,0.08333333333333333,0.18333333333333338,0.05,220.93682340195159,220.93682340198492,3.33386651618639e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,34,0.25,0.15000000000000002,0.05,140.73236055826524,140.73236055827547,1.0231815394945443e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,35,0.41666666666666663,0.15,0.016666666666666666,182.1123463913106,182.1123463913228,1.2192913345643319e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,36,0.5833333333333333,0.18333333333333338,0.016666666666666666,102.01727185841337,102.0172718584143,9.379164112033322e-13,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,37,0.5,0.16666666666666669,0.03333333333333333,90.43864607671807,90.43864607672361,5.5422333389287814e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,38,0.41666666666666663,0.18333333333333338,0.05,151.0590489825266,151.05904898253735,1.0743406164692715e-11,ok,element-centroid von Mises comparison for projected x-z stress cloud
cantilever_external_open_source_fem_stress_cloud,scikit-fem,3,39,0.5833333333333333,0.15000000000000002,0.05,70.49710927362598,70.49710927362183,4.149569576838985e-12,ok,element-centroid von Mises comparison for projected x-z stress cloud
